"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Quinshon Judkins","CLE","RB37","176.1","728.1","4.9","21.9","166.3","0.9","1.3","143.8"
"Dallas Goedert","PHI","TE13","0.0","0.0","0.0","57.1","632.8","3.9","0.5","142.9"
"Zach Ertz","WAS","TE14","0.0","0.0","0.0","58.0","538.1","5.1","0.1","142.0"
"Rhamondre Stevenson","NE","RB38","154.2","630.2","4.9","27.9","177.5","1.1","1.5","141.7"
"Xavier Legette","CAR","WR60","6.2","28.9","0.1","54.5","617.0","3.8","0.5","141.4"
"Dalton Kincaid","BUF","TE15","0.0","0.0","0.0","57.1","604.2","4.0","0.5","140.8"
"Jayden Higgins","HOU","WR61","0.7","4.0","0.0","50.6","672.1","3.8","0.4","140.3"
"Kyle Pitts Sr.","ATL","TE16","0.0","0.0","0.0","50.9","641.8","4.2","0.1","140.1"
"Christian Kirk","HOU","WR62","0.7","4.0","0.0","52.1","672.2","3.6","0.8","139.8"
"DeMario Douglas","NE","WR63","2.1","15.9","0.0","56.5","597.7","3.2","0.2","136.6"
"Jordan Mason","MIN","RB39","163.6","753.5","4.6","16.9","123.5","0.7","0.7","134.8"
"Hunter Henry","NE","TE17","0.0","0.0","0.0","54.9","574.3","3.9","0.4","134.7"
"Rachaad White","TB","RB40","107.3","439.5","2.7","36.4","275.6","2.1","1.3","134.2"
"Tyjae Spears","TEN","RB41","117.2","473.7","3.5","33.4","250.4","1.0","0.9","131.2"
"Colston Loveland","CHI","TE18","0.0","0.0","0.0","53.6","562.6","3.8","0.8","131.0"
